WAREHOUSE;SLOT;PALLET_COUNT
CML;JE27Z;6
CML;JE53Z;6
CML;JG06Z;6
CML;KB66Z;3
CML;KB68Z;2
CML;KB71Z;6
CML;JP13Z;24
CML;JP15Z;10
CML;KA07Z;20
CML;KA25Z;20
CML;KA28Z;3
CML;KA84Z;9
CML;KB36Z;2
CML;KB47Z;19
CML;KB78Z;2
CML;KC13Z;6
CML;KC27Z;10
CML;KC73Z;7
CML;KE57Z;2
CML;KE72Z;1
CML;KL17Z;3
CML;GU03Z;8
CML;JM05Z;3
CML;JM08Z;24
CML;DI16Z;2
CML;DI18Z;9
CML;DK19Z;3
CML;DK21Z;8
CML;DK22Z;1
CML;DM01Z;4
CML;DM03Z;6
CML;KL27Z;2
CML;KC76Z;18
CML;HK14Z;11
CML;JI41Z;12
CML;JI44Z;16
CML;KA31Z;7
CML;GG11Z;13
CML;DG68Z;1
CML;HB33Z;13
CML;GZ06Z;4
CML;GR15Z;7
CML;GQ01Z;13
CML;GT07Z;17
CML;JK01Z;12
CML;KB06Z;2
CML;JM24Z;8
CML;JM26Z;13
CML;KE26Z;8
CML;KE43Z;3
CML;DA24Z;3
CML;DA26Z;4
CML;DA38Z;3
CML;DH60Z;8
CML;DH15Z;2
CML;DH33Z;2
CML;DH34Z;12
CML;KE06Z;5
CML;KE09Z;8
CML;KA50Z;10
CML;GW23Z;20
CML;GX02Z;8
CML;KC45Z;5
CML;KC48Z;18
CML;HC03Z;8
CML;HC15Z;2
CML;HC21Z;1
CML;AC19Z;8
CML;AC23Z;9
CML;AC25Z;1
CML;GV06Z;12
CML;GV08Z;12
CML;GV09Z;2
CML;GV10Z;16
CML;KA01Z;6
CML;GA13Z;19
CML;GJ21Z;15
CML;AB18Z;1
CML;AB20Z;5
CML;HB11Z;4
CML;HB20Z;24
CML;HB23Z;13
CML;GH05Z;15
CML;GH10Z;5
CML;GF12Z;9
CML;GB11Z;24
CML;DM25Z;9
CML;DP04Z;5
CML;DP12Z;7
CML;JK10Z;4
CML;DG20Z;4
CML;DG22Z;1
CML;DG24Z;4
CML;DG34Z;4
CML;JO03Z;16
CML;JO09Z;16
CML;JO17Z;16
CML;JO19Z;2
CML;JO23Z;12
CML;AA10Z;1
CML;AA16Z;4
CML;AA50Z;1
CML;AC11Z;2
CML;AC41Z;1
CML;AC53Z;16
CML;AC65Z;1
CML;BB05Z;14
CML;BB16Z;6
CML;HB02Z;5
CML;HB08Z;1
CML;DA01Z;2
CML;DA14Z;4
CML;DA46Z;4
CML;DB06Z;5
CML;DB11Z;4
CML;DB14Z;2
CML;DB17Z;4
CML;DB20Z;4
CML;DB24Z;2
CML;DB29Z;6
CML;DB30Z;4
CML;DH26Z;4
CML;DH53Z;18
CML;DH65Z;1
CML;DH71Z;10
CML;DH74Z;5
CML;DI02Z;2
CML;DM14Z;5
CML;DP25Z;1
CML;DR06Z;1
CML;DR21Z;6
CML;FA21Z;3
CML;FA33Z;1
CML;FA45Z;1
CML;FA69Z;2
CML;FT03Z;2
CML;GC09Z;1
CML;GD04Z;4
CML;GD09Z;11
CML;GD20Z;2
CML;GE06Z;9
CML;GE20Z;11
CML;GE24Z;12
CML;GF16Z;7
CML;GG03Z;16
CML;GG09Z;6
CML;GH12Z;5
CML;GJ01Z;15
CML;GK14Z;6
CML;GL11Z;2
CML;GM11Z;19
CML;GM12Z;11
CML;GM14Z;3
CML;GN07Z;2
CML;GN10Z;13
CML;GP06Z;20
CML;GQ11Z;16
CML;GQ18Z;2
CML;GR21Z;8
CML;GS02Z;12
CML;GU15Z;5
CML;GU16Z;8
CML;GU20Z;8
CML;GV13Z;1
CML;GW05Z;1
CML;GW14Z;12
CML;GX06Z;7
CML;HA14Z;6
CML;HA50Z;12
CML;HB63Z;4
CML;DG74Z;3
CML;DG77Z;1
CML;DG83Z;6
CML;DI20Z;17
CML;DK08Z;2
CML;HP19Z;24
CML;HS22Z;10
CML;HS28Z;24
CML;JB31Z;25
CML;JB41Z;21
CML;JD04Z;2
CML;JD05Z;5
CML;JD09Z;7
CML;JD11Z;8
CML;JD17Z;2
CML;JD28Z;2
CML;JD38Z;1
CML;JD48Z;11
CML;JG14Z;4
CML;JK21Z;21
CML;JK25Z;24
CML;JP04Z;4
CML;JP18Z;1
CML;KA23Z;20
CML;KA24Z;3
CML;KA30Z;1
CML;KA81Z;2
CML;KB16Z;2
CML;KB18Z;4
CML;KB55Z;17
CML;KB56Z;2
CML;KB60Z;1
CML;KB79Z;20
CML;KC62Z;20
CML;KE52Z;8
CML;KE53Z;8
CML;KE60Z;1
CML;KE87Z;4
CML;KE88Z;2
CML;KK01Z;1
CML;KL10Z;1
CML;KL18Z;1
CML;KL19Z;2
CML;KL22Z;2
CML;JI39Z;24
CML;GU01Z;12
CML;DI06Z;8
CML;DK16Z;3
CML;DK26Z;4
CML;KL28Z;2
CML;XA10Z;15
CML;HK02Z;12
CML;HK08Z;18
CML;HB42Z;3
CML;HB49Z;2
CML;GG12Z;6
CML;GG13Z;7
CML;DG41Z;2
CML;DG50Z;3
CML;DG53Z;3
CML;DG59Z;1
CML;GZ02Z;20
CML;GZ08Z;4
CML;GZ24Z;1
CML;HA30Z;8
CML;GR08Z;8
CML;GR14Z;4
CML;KC19Z;1
CML;JI03Z;24
CML;GT04Z;9
CML;GT05Z;9
CML;GT10Z;10
CML;KB05Z;20
CML;JM19Z;4
CML;JM25Z;2
CML;KE19Z;4
CML;KE25Z;3
CML;KE31Z;3
CML;KE41Z;6
CML;DA19Z;6
CML;DA20Z;2
CML;DA21Z;1
CML;DA28Z;2
CML;DA31Z;8
CML;DA34Z;1
CML;DH18Z;3
CML;DH32Z;11
CML;KE15Z;1
CML;KE16Z;4
CML;KE17Z;8
CML;GX01Z;10
CML;JK15Z;24
CML;KC51Z;16
CML;JP22Z;16
CML;AC17Z;4
CML;AC27Z;10
CML;GV04Z;11
CML;KA12Z;1
CML;HC31Z;3
CML;HC53Z;1
CML;AB14Z;2
CML;AB16Z;5
CML;AB32Z;3
CML;AB34Z;6
CML;GH03Z;2
CML;GF11Z;6
CML;GF14Z;7
CML;GB08Z;4
CML;GB14Z;3
CML;GB15Z;24
CML;DP15Z;1
CML;DP18Z;1
CML;JK09Z;2
CML;GA04Z;28
CML;DB46Z;1
CML;DG03Z;1
CML;DG23Z;3
CML;DG29Z;1
CML;HA36Z;4
CML;HA38Z;2
CML;AA02Z;2
CML;AA40Z;1
CML;AC49Z;1
CML;AC59Z;8
CML;BB10Z;1
CML;BB24Z;3
CML;JI24Z;16
CML;DA03Z;1
CML;DA07Z;2
CML;DA45Z;7
CML;DA47Z;4
CML;DB01Z;1
CML;DB03Z;2
CML;DB05Z;1
CML;DB19Z;1
CML;DH45Z;9
CML;DH49Z;16
CML;DH73Z;3
CML;DH78Z;9
CML;DM09Z;8
CML;DM13Z;7
CML;DP23Z;2
CML;DP27Z;2
CML;DR05Z;4
CML;DR15Z;5
CML;DR16Z;1
CML;FA13Z;2
CML;FA41Z;12
CML;FT15Z;4
CML;GA01Z;20
CML;GA02Z;28
CML;GA24Z;8
CML;GB03Z;8
CML;GD14Z;2
CML;GD19Z;12
CML;GD21Z;12
CML;GD24Z;2
CML;GE08Z;12
CML;GE23Z;14
CML;GF01Z;12
CML;GF04Z;16
CML;GH02Z;11
CML;GJ02Z;2
CML;GJ06Z;5
CML;GK03Z;5
CML;GK09Z;20
CML;GK16Z;7
CML;GL09Z;2
CML;GL13Z;2
CML;GM09Z;9
CML;GM23Z;20
CML;GM24Z;10
CML;GN03Z;3
CML;GN13Z;3
CML;GQ13Z;16
CML;GR20Z;5
CML;GS06Z;4
CML;GS14Z;6
CML;GS15Z;12
CML;GS17Z;11
CML;GS23Z;6
CML;GT13Z;25
CML;GW04Z;5
CML;GW12Z;12
CML;HA12Z;8
CML;HA16Z;1
CML;HA48Z;9
CML;HA70Z;12
CML;HB40Z;2
CML;DG71Z;3
CML;DG76Z;2
CML;DG78Z;3
CML;DG84Z;1
CML;DG85Z;5
CML;DH01Z;2
CML;DH02Z;8
CML;DK05Z;8
CML;JI30Z;16
CML;HK24Z;13
CML;JB03Z;14
CML;JD02Z;2
CML;JD08Z;5
CML;JD10Z;9
CML;JD12Z;2
CML;JD14Z;4
CML;JD32Z;1
CML;JD43Z;4
CML;JD44Z;4
CML;JE28Z;5
CML;JE32Z;4
CML;KB65Z;20
CML;KB74Z;1
CML;JK20Z;6
CML;JP09Z;10
CML;JP11Z;24
CML;JP14Z;16
CML;JP16Z;7
CML;JR04Z;20
CML;KA29Z;4
CML;KB24Z;4
CML;KB22Z;2
CML;KB38Z;2
CML;KB49Z;5
CML;KB81Z;2
CML;KC12Z;14
CML;KC43Z;16
CML;KC66Z;15
CML;KE50Z;2
CML;KE74Z;7
CML;KE76Z;1
CML;KK13Z;2
CML;KK17Z;3
CML;KL15Z;2
CML;JI20Z;15
CML;GU07Z;10
CML;DI12Z;1
CML;DK12Z;3
CML;DK14Z;2
CML;KC84Z;20
CML;HK12Z;12
CML;KA32Z;3
CML;DG43Z;3
CML;DG49Z;2
CML;DG55Z;4
CML;GZ10Z;3
CML;HA02Z;10
CML;HP13Z;20
CML;HA22Z;7
CML;HA28Z;7
CML;GQ23Z;11
CML;GR06Z;1
CML;GQ02Z;4
CML;GT06Z;16
CML;GT08Z;16
CML;KE23Z;5
CML;KE28Z;1
CML;DH56Z;2
CML;DH19Z;4
CML;DH40Z;10
CML;DH43Z;6
CML;KE10Z;1
CML;KE14Z;4
CML;KA54Z;12
CML;GW21Z;13
CML;GW22Z;11
CML;GW24Z;11
CML;JK12Z;6
CML;JK17Z;24
CML;GA14Z;28
CML;GA17Z;20
CML;GA18Z;5
CML;GA19Z;11
CML;HC25Z;3
CML;HC27Z;4
CML;AC39Z;15
CML;GV01Z;2
CML;AC73Z;3
CML;BA10Z;3
CML;GJ20Z;8
CML;HB21Z;1
CML;HB25Z;4
CML;HB26Z;16
CML;GH04Z;12
CML;GH06Z;3
CML;GB13Z;24
CML;DM26Z;6
CML;DP01Z;2
CML;DP07Z;3
CML;GA08Z;11
CML;DG02Z;1
CML;DG11Z;1
CML;DG14Z;1
CML;DG33Z;3
CML;KC53Z;16
CML;JO13Z;9
CML;AA12Z;1
CML;AA46Z;2
CML;AA52Z;1
CML;AC03Z;6
CML;AC05Z;2
CML;AC43Z;3
CML;AC47Z;2
CML;AC63Z;5
CML;BB04Z;7
CML;BB23Z;1
CML;BB28Z;4
CML;HB01Z;6
CML;HB06Z;4
CML;DA05Z;4
CML;DB04Z;3
CML;DB15Z;3
CML;DB18Z;2
CML;DB22Z;2
CML;DB26Z;4
CML;DH23Z;13
CML;DH27Z;6
CML;DH29Z;9
CML;DH77Z;2
CML;DH81Z;4
CML;DH83Z;4
CML;DM08Z;3
CML;DM18Z;4
CML;DP22Z;8
CML;DR12Z;4
CML;DR14Z;1
CML;DR19Z;12
CML;FA23Z;1
CML;FA51Z;4
CML;FA53Z;2
CML;FA59Z;5
CML;FA61Z;3
CML;FA67Z;2
CML;FT25Z;5
CML;GA23Z;20
CML;GB01Z;23
CML;GC13Z;4
CML;GD03Z;12
CML;GD15Z;5
CML;GD16Z;4
CML;GE02Z;15
CML;GE11Z;16
CML;GE13Z;8
CML;GE15Z;9
CML;GE16Z;11
CML;GG01Z;11
CML;GG19Z;14
CML;GG20Z;3
CML;GJ03Z;24
CML;GJ10Z;4
CML;GJ11Z;19
CML;GJ13Z;2
CML;GK02Z;5
CML;GL06Z;2
CML;GL08Z;3
CML;GL14Z;3
CML;GM16Z;10
CML;GM17Z;20
CML;GN09Z;2
CML;GP04Z;20
CML;GP07Z;5
CML;GP10Z;8
CML;GQ17Z;16
CML;GS10Z;5
CML;GU21Z;4
CML;GW11Z;15
CML;GX07Z;16
CML;GX08Z;5
CML;GX11Z;16
CML;HA10Z;12
CML;HA68Z;12
CML;DG75Z;2
CML;DH05Z;8
CML;DI23Z;6
CML;DK06Z;1
CML;HK20Z;12
CML;HP21Z;5
CML;JB46Z;6
CML;JD13Z;9
CML;JD18Z;1
CML;JD19Z;4
CML;JD22Z;4
CML;JD29Z;18
CML;JD47Z;18
CML;JE29Z;5
CML;JE37Z;1
CML;JG10Z;5
CML;JI13Z;23
CML;JM02Z;18
CML;KA10Z;5
CML;KB26Z;2
CML;KB02Z;4
CML;KB14Z;1
CML;KB19Z;10
CML;KB83Z;22
CML;KC72Z;20
CML;KE61Z;7
CML;KE66Z;6
CML;KE67Z;1
CML;KE78Z;5
CML;KE82Z;8
CML;KE85Z;5
CML;KK03Z;3
CML;KL02Z;4
CML;KL06Z;2
CML;KL13Z;2
CML;KA59Z;20
CML;JI17Z;11
CML;JI34Z;16
CML;KA74Z;11
CML;KA79Z;7
CML;KA80Z;9
CML;KA70Z;10
CML;JM15Z;2
CML;JM16Z;14
CML;JM17Z;3
CML;DI10Z;3
CML;DK18Z;2
CML;DM04Z;1
CML;HS04Z;4
CML;HS06Z;24
CML;HK04Z;24
CML;JI40Z;7
CML;KA33Z;10
CML;GG18Z;16
CML;DG56Z;5
CML;DG62Z;2
CML;DG63Z;1
CML;DG64Z;1
CML;DG65Z;1
CML;GQ20Z;7
CML;GR02Z;5
CML;GR10Z;7
CML;GR11Z;4
CML;GR16Z;8
CML;KC17Z;5
CML;GQ05Z;15
CML;GQ06Z;2
CML;JI09Z;2
CML;KB08Z;2
CML;KB12Z;3
CML;JM20Z;19
CML;JM23Z;6
CML;KE24Z;8
CML;KE32Z;6
CML;DA25Z;2
CML;DH14Z;12
CML;DH37Z;12
CML;DH39Z;3
CML;DH41Z;4
CML;KE03Z;2
CML;KE07Z;8
CML;KE18Z;3
CML;JK11Z;9
CML;KC49Z;11
CML;GA15Z;14
CML;HC17Z;4
CML;HC29Z;1
CML;AC35Z;1
CML;GU23Z;8
CML;GV11Z;2
CML;KA02Z;4
CML;KA17Z;1
CML;GJ17Z;24
CML;HC49Z;3
CML;HC59Z;2
CML;HC69Z;1
CML;AB10Z;1
CML;AB24Z;2
CML;AB30Z;4
CML;AB33Z;3
CML;HB12Z;7
CML;HB14Z;4
CML;HB24Z;13
CML;GF13Z;12
CML;GB09Z;12
CML;DM24Z;1
CML;DP03Z;1
CML;DP05Z;4
CML;DP08Z;2
CML;JK04Z;3
CML;JK08Z;14
CML;GA05Z;4
CML;DC59Z;1
CML;DG01Z;3
CML;DG04Z;2
CML;DG08Z;4
CML;DG27Z;3
CML;DG30Z;2
CML;KC54Z;20
CML;KC57Z;16
CML;HA34Z;16
CML;HA46Z;24
CML;JO11Z;1
CML;JO15Z;10
CML;AA14Z;3
CML;AA18Z;3
CML;AA20Z;1
CML;AA22Z;1
CML;AA28Z;1
CML;AA34Z;2
CML;AB03Z;2
CML;AC45Z;15
CML;AC67Z;5
CML;BB12Z;1
CML;JI27Z;24
CML;HB03Z;9
CML;HB09Z;8
CML;DB16Z;6
CML;DB21Z;1
CML;DB23Z;1
CML;DB31Z;1
CML;DB35Z;3
CML;DB38Z;1
CML;DH51Z;8
CML;DH52Z;5
CML;DH72Z;12
CML;DM21Z;16
CML;DP19Z;3
CML;DR22Z;2
CML;DR25Z;8
CML;DR27Z;8
CML;FA31Z;1
CML;FA37Z;6
CML;FA49Z;4
CML;FA57Z;2
CML;FA77Z;1
CML;FT01Z;1
CML;FT19Z;4
CML;GA22Z;11
CML;GB04Z;2
CML;GC10Z;20
CML;GD08Z;3
CML;GD13Z;11
CML;GD18Z;3
CML;GD22Z;2
CML;GE17Z;16
CML;GE19Z;8
CML;GG22Z;10
CML;GH13Z;8
CML;GH15Z;5
CML;GJ04Z;7
CML;GK08Z;8
CML;GL02Z;2
CML;GL03Z;2
CML;GL12Z;2
CML;GL16Z;4
CML;GM03Z;16
CML;GM06Z;5
CML;GM21Z;20
CML;GN08Z;7
CML;GN15Z;2
CML;GP03Z;5
CML;GQ15Z;3
CML;GR18Z;6
CML;GS05Z;9
CML;GS12Z;6
CML;GS20Z;4
CML;GT14Z;6
CML;GW03Z;20
CML;GW07Z;6
CML;GW08Z;12
CML;GW09Z;20
CML;GW16Z;9
CML;GX09Z;12
CML;GX12Z;5
CML;HA08Z;8
CML;HA09Z;1
CML;HA52Z;1
CML;HA76Z;24
CML;DG80Z;4
CML;DH04Z;2
CML;DH08Z;5
CML;DI24Z;5
CML;DK04Z;2
CML;JI29Z;9
CML;HP17Z;12
CML;HS14Z;20
CML;JD03Z;4
CML;JD07Z;1
CML;JD24Z;3
CML;JD25Z;2
CML;JD39Z;12
CML;JE07Z;1
CML;JE21Z;4
CML;JE34Z;4
CML;JE47Z;6
CML;JI11Z;17
CML;JI15Z;23
CML;KB70Z;2
CML;JK23Z;24
CML;JP06Z;7
CML;JP10Z;2
CML;KA06Z;1
CML;KA09Z;20
CML;KA22Z;1
CML;KA44Z;8
CML;KB28Z;2
CML;KB46Z;3
CML;KC01Z;16
CML;KC15Z;16
CML;KC29Z;14
CML;KC69Z;16
CML;KE51Z;8
CML;KE59Z;3
CML;KE71Z;2
CML;KK15Z;2
CML;KK21Z;4
CML;KL01Z;2
CML;KL23Z;3
CML;JI35Z;24
CML;JI38Z;16
CML;KA77Z;6
CML;GU05Z;12
CML;JM07Z;3
CML;JM14Z;24
CML;DK25Z;4
CML;DK28Z;1
CML;HS08Z;12
CML;JI43Z;1
CML;KA35Z;7
CML;GG10Z;9
CML;DG37Z;4
CML;DG46Z;6
CML;DG58Z;2
CML;DG60Z;3
CML;DG61Z;4
CML;DG66Z;5
CML;GZ04Z;4
CML;GZ12Z;2
CML;GZ14Z;12
CML;HA18Z;1
CML;GQ22Z;7
CML;GR07Z;3
CML;GR12Z;3
CML;KC23Z;16
CML;GQ04Z;3
CML;JI07Z;22
CML;KB11Z;20
CML;KE20Z;1
CML;KE29Z;1
CML;KE30Z;7
CML;KE34Z;1
CML;KE42Z;7
CML;KE45Z;6
CML;DA18Z;4
CML;DA22Z;3
CML;DA29Z;3
CML;DA30Z;3
CML;DA33Z;6
CML;DA35Z;8
CML;DA39Z;1
CML;DA40Z;5
CML;DH54Z;2
CML;DH59Z;5
CML;DH12Z;7
CML;DH13Z;9
CML;DH16Z;12
CML;DH21Z;3
CML;GX03Z;13
CML;KC52Z;18
CML;JP21Z;9
CML;JP23Z;3
CML;JR02Z;4
CML;HC11Z;2
CML;HC23Z;4
CML;AC15Z;2
CML;AC21Z;5
CML;AC33Z;1
CML;GA09Z;5
CML;GA10Z;32
CML;KA13Z;16
CML;GJ23Z;21
CML;HC33Z;3
CML;HC37Z;4
CML;HC41Z;1
CML;HC55Z;2
CML;HC67Z;4
CML;HC71Z;5
CML;AB26Z;3
CML;HB15Z;1
CML;HB18Z;4
CML;GH08Z;5
CML;GB06Z;2
CML;GC01Z;1
CML;DP02Z;5
CML;DP10Z;8
CML;JK07Z;24
CML;DB40Z;1
CML;DG15Z;4
CML;DG19Z;4
CML;DG28Z;3
CML;DG35Z;4
CML;HA40Z;2
CML;AA04Z;2
CML;AA30Z;1
CML;AA36Z;1
CML;AA42Z;2
CML;AB02Z;10
CML;BB08Z;8
CML;BB15Z;2
CML;JI23Z;24
CML;HB05Z;15
CML;DA02Z;2
CML;DB10Z;1
CML;DH24Z;11
CML;DH25Z;3
CML;DH28Z;6
CML;DH46Z;3
CML;DH64Z;2
CML;DH70Z;2
CML;DH76Z;1
CML;DH85Z;8
CML;DM11Z;2
CML;DM16Z;1
CML;DP26Z;8
CML;DR24Z;2
CML;FA05Z;1
CML;FA07Z;1
CML;FA11Z;3
CML;FA17Z;1
CML;FA19Z;6
CML;FA25Z;5
CML;FA27Z;4
CML;FA43Z;3
CML;FA55Z;3
CML;FT05Z;2
CML;GC03Z;1
CML;GC16Z;20
CML;GD01Z;10
CML;GD07Z;10
CML;GD10Z;2
CML;GD17Z;7
CML;GE03Z;13
CML;GE07Z;10
CML;GE14Z;16
CML;GG05Z;6
CML;GG06Z;11
CML;GG08Z;16
CML;GG24Z;14
CML;GK04Z;10
CML;GM08Z;4
CML;GM18Z;12
CML;GM19Z;13
CML;GM20Z;11
CML;GN01Z;2
CML;GN02Z;1
CML;GN05Z;2
CML;GP02Z;13
CML;GP11Z;5
CML;GQ10Z;8
CML;GS04Z;7
CML;GS07Z;12
CML;GS09Z;5
CML;GS24Z;6
CML;GT03Z;16
CML;GT11Z;18
CML;GU22Z;6
CML;GV14Z;13
CML;GW17Z;16
CML;HA04Z;13
CML;HA72Z;24
CML;HB37Z;16
CML;HB39Z;16
CML;HB41Z;16
CML;DG86Z;3
CML;DH07Z;2
CML;DI22Z;1
CML;JI31Z;24
CML;JI33Z;20
CML;HK22Z;12
CML;HS24Z;5
CML;JB28Z;11
CML;JB29Z;16
CML;JB33Z;14
CML;JD01Z;1
CML;JD06Z;3
CML;JD30Z;5
CML;JD31Z;4
CML;JD42Z;7
CML;JD45Z;7
CML;JE09Z;1
CML;JE41Z;3
CML;JE43Z;5
CML;JG04Z;3
CML;JK22Z;16
CML;JK26Z;14
CML;JP02Z;2
CML;JP12Z;16
CML;JP17Z;18
CML;KA05Z;16
CML;KA39Z;9
CML;KA41Z;8
CML;KA42Z;10
CML;KA49Z;18
CML;KB01Z;8
CML;KB03Z;17
CML;KB39Z;2
CML;KC09Z;16
CML;KC10Z;3
CML;KC25Z;16
CML;KC64Z;19
CML;KC67Z;13
CML;KE58Z;8
CML;KE62Z;1
CML;KE63Z;1
CML;KE64Z;3
CML;KE75Z;2
CML;KE79Z;1
CML;KE84Z;8
CML;KE86Z;1
CML;KL04Z;2
CML;KL14Z;2
CML;KA60Z;5
CML;JI18Z;9
CML;JI19Z;24
CML;JI36Z;15
CML;JI37Z;24
CML;GT16Z;3
CML;GU08Z;7
CML;JM11Z;2
CML;JM12Z;24
CML;DI15Z;2
CML;DI17Z;1
CML;DK13Z;3
CML;DK23Z;6
CML;DK24Z;3
CML;HS01Z;1
